152	L_ 84 / B_ {#akula#}	akula
153	L_ 84 / B_ {#akula#} / M_ {#--laH --laM#}	akulaH,akulaM
154	L_ 84 / B_ {#akula#} / M_ {#--lA#}	akulA
155	L_ 85 / B_ {#akulIna#}	akulIna
156	L_ 86 / B_ {#akuSala#}	akuSala
157	L_ 86 / B_ {#akuSala#} / M_ {#--laM#}	akuSalaM
158	L_ 87 / B_ {#akuha#}	akuha
159	L_ 88 / B_ {#akUpAra#}	akUpAra
160	L_ 88 / B_ {#akUpAra#} / M_ {#--raH#}	akUpAraH
161	L_ 89 / B_ {#akUvAra#}	akUvAra
162	L_ 90 / B_ {#akUrca#}	akUrca
163	L_ 90 / B_ {#akUrca#} / M_ {#--rcaH#}	akUrcaH
164	L_ 91 / B_ {#akfcCra#}	akfcCra
165	L_ 91 / B_ {#akfcCra#} / M_ {#--cCraM#}	akfcCraM
166	L_ 92 / B_ {#akfta#}	akfta
167	L_ 92 / B_ {#akfta#} / M_ {#--tA#}	akftA
168	L_ 92 / B_ {#akfta#} / M_ {#--taM#}	akftaM
169	L_ 92 / B_ {#akfta#} / S_ {#--arTa#}	akftArTa
170	L_ 92 / B_ {#akfta#} / S_ {#--astra#}	akftAstra
171	L_ 92 / B_ {#akfta#} / S_ {#--Atman#}	akftAtman
172	L_ 92 / B_ {#akfta#} / S_ {#--udvAha#}	akftodvAha
173	L_ 92 / B_ {#akfta#} / S_ {#--enas#}	akftEnas
174	L_ 92 / B_ {#akfta#} / S_ {#--kAraM#}	akftakAraM
175	L_ 92 / B_ {#akfta#} / S_ {#--jYa#}	akftajYa
176	L_ 92 / B_ {#akfta#} / S_ {#--DI#}, {#--budDi#}	akftaDI,akftabudDi
177	L_ 93 / B_ {#akftin#}	akftin
178	L_ 94 / B_ {#akftya#}	akftya
179	L_ 94 / B_ {#akftya#} / M_ {#--tyaM#}	akftyaM
180	L_ 95 / B_ {#akftta#}	akftta
181	L_ 96 / B_ {#akfSa#}	akfSa
182	L_ 96 / B_ {#akfSa#} / S_ {#--aSvaH#}	akfSASvaH
183	L_ 96 / B_ {#akfSa#} / S_ {#--lakzmI#}	akfSalakzmI
184	L_ 96 / B_ {#akfSa#} / S_ {#--lakzmI#} / S_M_ ({#--kzmIH#}	akfSalakzmIH
185	L_ 97 / B_ {#akfzwa#}	akfzwa
186	L_ 97 / B_ {#akfzwa#} / S_ {#--pacya#}	akfzwapacya
187	L_ 97 / B_ {#akfzwa#} / S_ {#--rohin#}	akfzwarohin
188	L_ 98 / B_ {#akfzRa#}	akfzRa
189	L_ 98 / B_ {#akfzRa#} / M_ {#--zRaH#}	akfzRaH
190	L_ 98 / B_ {#akfzRa#} / S_ {#--karman#}	akfzRakarman
191	L_ 99 / B_ {#aketu#}	aketu
192	L_ 100 / B_ {#akeSa#}	akeSa
193	L_ 101 / B_ {#akowaH#}	akowaH
194	L_ 102 / B_ {#akkA#}	akkA
195	L_ 103 / B_ {#akta#}	akta
196	L_ 104 / B_ {#aktuH#}	aktuH
197	L_ 105 / B_ {#aktraM#}	aktraM
198	L_ 106 / B_ {#akra#}	akra
199	L_ 106 / B_ {#akra#} / M_ {#--kraH#}	akraH
200	L_ 107 / B_ {#akratu#}	akratu
201	L_ 108 / B_ {#akrama#}	akrama
202	L_ 108 / B_ {#akrama#} / M_ {#--maH#}	akramaH
203	L_ 109 / B_ {#akrAMta#}	akrAMta
204	L_ 109 / B_ {#akrAMta#} / M_ {#--tA#}	akrAMtA
205	L_ 110 / B_ {#akriya#}	akriya
